# Frequency list

# Corpus: decow16a-nano
# Query:  "[A-ZÄÖÜ][a-zäöüß]+_\+=?[a-z]+_[a-zäöüß]+en" 20020

# Frequency limit: 0


Full nominal compound analysis	Frequency	
Ratte_+n_hausen	3	
Rat_+s_geschworen	3	
Querschnitt_+s_denken	3	
Publikum_+s_eislaufen	3	
Proselyt_+en_machen	3	
Position_+s_werfen	3	
Pirouette_+n_drehen	3	
Pille_+n_absetzen	3	
Photon_+en_geschaffen	3	
Pfütze_+n_trinken	3	
Pfändung_+s_begehren	3	
Pflanze_+n_pathogen	3	
Pflanze_+n_gießen	3	
Pfeife_+n_rauchen	3	
Pfeife_+n_machen	3	
Pfaffe_+n_hoffen	3	
Patient_+en_eigen	3	
Orientierung_+s_laufen	3	
Orange_+n_schälen	3	
Ohr_+en_zucken	3	
Name_+n_geben	3	
Nachricht_+en_hören	3	
Möglichkeit_+s_denken	3	
Männlichkeit_+s_empfinden	3	
Monat_+s_rüsten	3	
Modernisierung_+s_bausparen	3	
Menschenrecht_+s_denken	3	
Mensch_+en_schlagen	3	
Mensch_+en_retten	3	
Mensch_+en_machen	3	
Mehrheit_+s_eigen	3	
Maschine_+n_sticken	3	
Marke_+n_zeichnen	3	
Marke_+n_gebunden	3	
Marke_+n_auftreten	3	
Mann_+=er_verstehen	3	
Lösung_+s_denken	3	
Lunge_+n_bluten	3	
Lude_+n_hausen	3	
Liebe_+s_wirken	3	
Leitung_+s_bedingen	3	
Leistung_+s_pflügen	3	
Land_+s_hausen	3	
Kutsche_+n_fahren	3	
Kunde_+n_verschulden	3	
Kunde_+n_anrufen	3	
Krise_+n_erfahren	3	
Krieg_+s_vertrieben	3	
Krieg_+s_gedenken	3	
Krieg_+s_erleben	3	
Krieg_+s_einsetzen	3	
Krieg_+s_anfragen	3	
Kraut_+=er_topfen	3	
Kraft_+=e_tanken	3	
Kirchtum_+s_denken	3	
Kind_+er_ficken	3	
Kind_+er_abholen	3	
Kette_+n_schlagen	3	
Kette_+n_klirren	3	
Kette_+n_aufziehen	3	
Kerze_+n_anzünden	3	
Kassette_+n_hören	3	
Karte_+n_mischen	3	
Karte_+n_ausspielen	3	
Kante_+n_zwingen	3	
Junker_+s_hausen	3	
Intendant_+en_vorsprechen	3	
Inland_+s_vertrieben	3	
Information_+s_ersuchen	3	
Hülse_+n_ziehen	3	
Huf_+e_scharren	3	
Huf_+e_geben	3	
Hose_+n_runterlassen	3	
Hose_+n_laufen	3	
Hering_+s_hausen	3	
Haushalt_+s_gebaren	3	
Haltung_+s_bedingen	3	
Hahn_+en_schlagen	3	
Haar_+e_wachsen	3	
Gut_+=er_wägen	3	
Gut_+=er_nebenstellen	3	
Gruppe_+n_springen	3	
Gruppe_+n_senden	3	
Gruppe_+n_musizieren	3	
Gruppe_+n_bilden	3	
Gruppe_+n_bezogen	3	
Grundstück_+s_bezogen	3	
Grube_+n_bauen	3	
Glück_+s_springen	3	
Gewohnheit_+s_denken	3	
Gesetz_+e_machen	3	
Geschäft_+s_denken	3	
Geschäft_+s_bedingen	3	
Geschmack_+s_erleben	3	
Geschlecht_+s_empfinden	3	
Geschenk_+e_kaufen	3	
