Index	Noun	Verb	Linking	Prefix	Particle	Freq	Nounpl	Verbpp	Verbzu	Verbfin
155	Rudel	gucken	0			25	Rudeln	geguckt	X	gucken|gucke|guckst|guckten|guckte|guckt
247	Video	gucken	0			15	Videos	geguckt	X	gucken|gucke|guckst|guckten|guckte|guckt
482	Film	gucken	0			7	Filme	geguckt	X	gucken|gucke|guckst|guckten|guckte|guckt
516	Probe	gucken	0			6	Proben	geguckt	X	gucken|gucke|guckst|guckten|guckte|guckt
590	Stern	gucken	0			5	Sterne	geguckt	X	gucken|gucke|guckst|guckten|guckte|guckt
66	Teil	haben	0			72	Teile	gehabt	X	ham|haette|hab|habs|hatt|hät|hätt|hats
115	Recht	haben	0			38	Rechte	gehabt	X	ham|haette|hab|habs|hatt|hät|hätt|hats
166	Spaß	haben	0			23	Spass	gehabt	X	ham|haette|hab|habs|hatt|hät|hätt|hats
9	Kreuz	heben	0			481	Kreuze	gehoben	X	hob|heben|hub|hebt|hebst|hoben|hebe|huben
26	Gewicht	heben	0			219	Gewichte	gehoben	X	hob|heben|hub|hebt|hebst|hoben|hebe|huben
124	Bein	heben	0			35	Beine	gehoben	X	hob|heben|hub|hebt|hebst|hoben|hebe|huben
194	Hand	heben	0			20	Hände	gehoben	X	hob|heben|hub|hebt|hebst|hoben|hebe|huben
201	Schulter	heben	0			19	Schulter	gehoben	X	hob|heben|hub|hebt|hebst|hoben|hebe|huben
506	Stein	heben	0			6	Steine	gehoben	X	hob|heben|hub|hebt|hebst|hoben|hebe|huben
